blind_id,packet_sha256,rater_id,correctness,evidence_sufficiency,question_clarity,choice_quality,required_modality,unscorable
A-0001-4e52b40f,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,not_determinable,0,1,1,image,true
A-0002-f8ac04d8,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,1,2,2,2,text,false
A-0003-48f0c89d,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,not_determinable,0,2,2,image,true
A-0004-34d91a66,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,not_determinable,0,1,2,image,true
A-0005-0f176fba,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,not_determinable,0,2,2,image,true
A-0006-6db59106,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,1,2,2,2,text,false
A-0007-dfd92df3,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,1,2,2,2,text,false
A-0008-ee6cad9e,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,not_determinable,0,1,0,image,true
A-0009-acc2b432,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,not_determinable,0,2,2,image,true
A-0010-6d1f8f8f,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,1,2,2,2,text,false
A-0011-9c1bb586,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,1,2,2,2,text,false
A-0012-7541d970,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,1,2,2,2,text,false
A-0013-31cdbb44,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,not_determinable,1,1,0,text,false
A-0014-bf7d0428,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,1,2,2,1,multiple,false
A-0015-4fadb7b2,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,1,2,2,2,text,false
A-0016-36615279,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,not_determinable,0,1,1,image,true
A-0017-c1051a69,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,1,2,1,1,text,false
A-0018-2b9ecc6a,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,1,2,2,2,text,false
A-0019-538618d5,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,not_determinable,0,2,0,image,true
A-0020-0c6ba466,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,not_determinable,0,1,2,image,true
A-0021-7766955d,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,1,2,2,2,text,false
A-0022-b1af748e,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,1,2,2,2,text,false
A-0023-0853fee2,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,not_determinable,1,1,0,text,false
A-0024-36b3a9e9,ef68612891484e1d41bc5b96e75e5a499a58ccb4152f9827e1f5a1812bd3fe3a,M2_CLAUDE_STAGE_A_CLEAN_20000,not_determinable,0,2,1,image,true
